nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.298048557063347763e-01,2.215612313693484381e-01,1.070722380124572298e-01,1.486661381428892037e-01,2.798464867444485082e-01,2.675310582906763601e-01,2.028582217374810537e-01,2.074658486082023856e-01,1.878203995628091039e-01,1.322860922352138147e-01,4.579356331996255886e-02,7.100139327954135826e-02,1.433414079302923749e-01,1.668992318874863157e-01,1.532049873487092428e-01,1.050102486312597394e-01,5.776489184201716309e-02,4.964922900421604723e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.355900276411927174e-01,1.207995561371531801e-01,6.437667193511567576e-02,1.221801834071619408e-01,2.310014890100381135e-01,2.177229556385181508e-01,1.583821714852211848e-01,1.234342116181808280e-01,8.718668547339021579e-02,6.030134276945351562e-02,8.494279279378444403e-02,9.373577508687554183e-02,2.772465579559872662e-02,8.591055443458303631e-02,1.239810369580136434e-01,1.047655101926229376e-01,6.973398506272047992e-02,4.658730504606471007e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.563322270247004431e-02,1.113656096559764858e-01,6.181161981930076432e-02,4.162872530492084389e-02,7.601710586432661350e-03,1.305192281886519701e-01,2.265435043511152546e-01,2.297651131754313014e-01,1.934604212286482050e-01,1.559917268208600161e-01,1.286089536946565526e-01,1.358657363137830976e-01,1.196453041097600006e-01,3.136621023832665556e-02,1.573709811089335220e-01,2.248794425327405866e-01,2.063652927679755500e-01,1.556118106085682407e-01,1.065499856231567760e-01,8.842801470079449111e-02
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.414567556838913220e-01,1.629091302116061069e-01,1.218362390640144316e-01,4.376941487890294302e-02,8.199158050381472052e-02,5.269676605307558465e-02,1.650082021611790351e-01,2.622986381474000095e-01,2.782418483336794868e-01,2.372073385713301952e-01,1.898361123657540672e-01,1.628991524884913222e-01,1.359549724684875893e-01,7.087872770298275782e-02,1.863929667093681963e-01,2.482156536623065513e-01,1.961795881775078854e-01,1.407156390527331269e-01,1.158402579893324374e-01,1.049228501736088476e-01,1.198292825083950297e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,8.260083265450571255e-02,1.481911396389224422e-01,1.145439480122022874e-01,1.516605192505589284e-01,1.303130088810161291e-01,1.133518483322946829e-01,2.179876276954928749e-01,3.253390259230437564e-01,3.292878509082931560e-01,2.515643849210978389e-01,1.721649728735031304e-01,1.057742086256341502e-01,2.470886856060846085e-02,1.678226510329633714e-01,2.678522101601967242e-01,2.221857069602974633e-01,1.102355992558928383e-01,3.209750804625173537e-02,4.834646925820089425e-02,1.303083795552148483e-01,1.719881594189092699e-01
nan,nan,nan,nan,nan,nan,2.527550403006719737e-01,1.736673499265496134e-01,5.254502184608561555e-02,1.211563787334833109e-01,1.122652908369878577e-01,8.563102064226557619e-02,1.808970628552035720e-01,1.495502711736940715e-01,1.548406491794264428e-01,2.678973632547403949e-01,3.757183173559673905e-01,3.691460936720957764e-01,2.525830388566823737e-01,1.127106636621375418e-01,1.283887386989170792e-02,1.361229562752440669e-01,2.303922786769350139e-01,2.281850361170101316e-01,1.311713797899485556e-01,7.150260507876349259e-02,6.689582976838188977e-02,9.205742054771871852e-02,1.677211210045592427e-01,1.742581916988256707e-01
nan,nan,nan,nan,nan,nan,2.567112229901640230e-01,1.918116365496246589e-01,3.537621866854937652e-02,1.676573246728917110e-01,5.187845491989728081e-02,1.426895599929146607e-01,1.396757751954178783e-01,1.030434162338244863e-01,2.131084264369771109e-01,2.932472373947331290e-01,3.479932597719904708e-01,3.662575108717965322e-01,2.822333678698114023e-01,9.864412509759246106e-02,6.525844155387476586e-02,1.557019174280688256e-01,1.840131816258321895e-01,1.589938255959111035e-01,1.053588028340373128e-01,1.048376655002254132e-01,1.255721942504187671e-01,1.460098203731125532e-01,1.573890184348495924e-01,1.111499558100858820e-01
nan,nan,nan,nan,nan,nan,1.928039059126298027e-01,8.321768346108995851e-02,1.045807165715016834e-01,1.411241836252603021e-01,1.817607158394064781e-02,1.833583147995871687e-01,1.456412704620314580e-01,1.630564131832059893e-01,2.869632241119038363e-01,2.495611520280916484e-01,2.446002124196378635e-01,3.420990980153302830e-01,3.421529030643938873e-01,1.579864263800483948e-01,7.324252760713884092e-02,1.545713483563475599e-01,1.975875932431246651e-01,2.180426105860415742e-01,1.977094586506973062e-01,1.794944358426179554e-01,1.805415065909551364e-01,1.515466430114740803e-01,8.825312098887752588e-02,3.014931327959732149e-02
nan,nan,nan,nan,4.285941080695178096e-01,1.289434644357673743e-01,1.207290539945958252e-01,7.564455064311180477e-02,9.554626761290217762e-02,1.649504258970176107e-01,7.619508231692220801e-02,1.421713775788772116e-01,2.303993779035589662e-01,2.575578969760288217e-01,2.605831694547027233e-01,1.482751102792249087e-01,1.370161556059735775e-01,3.028526265188494770e-01,3.944625751438330385e-01,2.357037839617068253e-01,4.877351031655578067e-02,1.355327842477692946e-01,1.958704135509811983e-01,2.320845191986581346e-01,2.235670461523926456e-01,1.964515545141944097e-01,1.816606829560447611e-01,1.501414787629068992e-01,8.726663669593041905e-02,5.372012381044444923e-02
nan,nan,nan,5.076890004348512120e-01,6.081448834929032987e-01,1.966448898764605324e-01,1.473251843892839641e-01,1.422706717835013623e-01,5.426041630114715464e-02,1.934287627136813681e-01,1.940886057996203395e-01,1.192601089364464795e-01,1.573241659467004561e-01,1.881748544182088034e-01,1.499876385953352043e-01,6.140118140119947554e-02,8.845640660434075930e-02,2.631593991117032738e-01,3.673607079314602508e-01,2.799995122245349521e-01,1.231865899765811484e-01,3.774746201528930700e-02,1.248436234231102837e-01,1.843183940355725692e-01,1.889018097877101510e-01,1.676614332288209053e-01,1.549868548821200231e-01,1.543149014323451640e-01,1.514029251835913303e-01,1.490489479448162680e-01
